caption_length,word_count,hashtag_count,mention_count,is_video,hour,day_of_week,is_weekend,month,likes,engagement_rate,post_id,date,url
247,34,8,0,1,7,6,1,8,189,4.081191967177715,3706084487405513439,2025-08-24 07:32:48,https://www.instagram.com/p/DNuqDSjZCrf/
370,45,7,0,0,3,0,0,8,266,5.7438998056575254,3696552105587907941,2025-08-11 03:36:12,https://www.instagram.com/p/DNMyo4LSh1l/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633517244595,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633517176405,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633517249406,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633651512334,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633517310222,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
817,87,3,0,0,6,1,0,7,130,2.807169077952926,3687220633794098900,2025-07-29 06:36:13,https://www.instagram.com/p/DMro6R9SRX8/
145,16,2,0,0,9,5,1,7,318,6.866767436838696,3685123499284273905,2025-07-26 09:09:36,https://www.instagram.com/p/DMkME2xSR3J/
145,16,2,0,0,9,5,1,7,318,6.866767436838696,3685123499410198305,2025-07-26 09:09:35,https://www.instagram.com/p/DMkME2xSR3J/
448,63,4,0,0,8,4,0,7,493,10.645648887929173,3669155395924497972,2025-07-04 08:23:49,https://www.instagram.com/p/DLrdWR_yZY0/
716,102,6,0,1,8,2,0,6,440,9.501187648456057,3652484690390415820,2025-06-11 08:31:23,https://www.instagram.com/p/DKwO3lmRfnM/
449,59,6,0,1,1,1,0,6,886,19.13193694666379,3651553548552551252,2025-06-10 01:32:47,https://www.instagram.com/p/DKs7JsLyrtU/
221,32,4,0,1,15,6,1,6,362,7.8168862016843015,3650531223954750581,2025-06-08 15:42:07,https://www.instagram.com/p/DKpSs6NS3x1/
461,62,4,0,0,11,4,0,6,97,2.094580004318722,3648957225445743429,2025-06-06 11:33:40,https://www.instagram.com/p/DKjs0N3SdtF/
576,87,4,0,0,11,2,0,5,1145,24.724681494277696,3642437082435638473,2025-05-28 11:39:18,https://www.instagram.com/p/DKMiTpfSVTJ/
710,88,4,0,0,3,2,0,5,35,0.7557762902180954,3642197248207054583,2025-05-28 03:42:48,https://www.instagram.com/p/DKLrxmdSWb3/
1563,214,6,0,1,6,1,0,5,114,2.4616713452817964,3641543059810425158,2025-05-27 06:03:39,https://www.instagram.com/p/DKJXB6CShlG/
329,47,8,0,1,8,0,0,5,145,3.1310732023321095,3640889257524671366,2025-05-26 08:24:44,https://www.instagram.com/p/DKHCX1NSzOG/
242,36,4,0,1,14,6,1,5,697,15.050744979486073,3640349921796290412,2025-05-25 14:33:11,https://www.instagram.com/p/DKFHvdqyfds/
558,78,4,0,0,10,6,1,5,44,0.9501187648456058,3640234598040536610,2025-05-25 10:43:21,https://www.instagram.com/p/DKEthSDSwYi/
531,73,4,0,0,7,5,1,5,85,1.8354567048153747,3639422930649624114,2025-05-24 07:50:43,https://www.instagram.com/p/DKB0994yC4y/
596,78,6,0,1,13,4,0,5,1548,33.42690563593177,3638879398738518213,2025-05-23 13:51:20,https://www.instagram.com/p/DJ_5YiWS-DF/
343,42,6,0,1,15,3,0,5,489,10.55927445476139,3628056289567829087,2025-05-08 15:35:27,https://www.instagram.com/p/DJZcfkcz-xf/
499,78,5,0,1,10,2,0,4,205,4.426689699848844,3617023457126775846,2025-04-23 10:08:02,https://www.instagram.com/p/DIyP6uiS_wm/
278,37,5,0,1,1,0,0,3,192,4.145972792053552,3600097847607464898,2025-03-31 01:40:15,https://www.instagram.com/p/DH2HesTSpPC/
147,21,5,0,0,9,6,1,3,201,4.3403152666810625,3599598186002073631,2025-03-30 09:06:04,https://www.instagram.com/p/DH0V3qKy0gf/
268,35,5,0,0,3,2,0,3,160,3.4549773267112935,3596515527768096458,2025-03-26 03:01:22,https://www.instagram.com/p/DHpY9E9yz7K/
247,34,5,0,0,2,1,0,3,65,1.403584538976463,3595781136695624583,2025-03-25 02:42:16,https://www.instagram.com/p/DHmx-R-ywOH/
492,63,5,0,0,10,6,1,3,271,5.851867847117253,3594562052943384189,2025-03-23 10:20:10,https://www.instagram.com/p/DHicybUyBEF/
492,63,5,0,0,10,6,1,3,271,5.851867847117253,3594562052809245861,2025-03-23 10:20:10,https://www.instagram.com/p/DHicybUyBEF/
492,63,5,0,0,10,6,1,3,271,5.851867847117253,3594562052935097069,2025-03-23 10:20:10,https://www.instagram.com/p/DHicybUyBEF/
779,107,5,0,0,5,4,0,3,167,3.6061325847549126,3582824881308033590,2025-03-07 05:40:30,https://www.instagram.com/p/DG4wEETSHse/
779,107,5,0,0,5,4,0,3,167,3.6061325847549126,3582824881609915534,2025-03-07 05:40:30,https://www.instagram.com/p/DG4wEETSHse/
157,20,5,0,0,5,4,0,3,113,2.440077736989851,3582823338022161567,2025-03-07 05:37:26,https://www.instagram.com/p/DG4vtqMyeR4/
157,20,5,0,0,5,4,0,3,113,2.440077736989851,3582823337736804772,2025-03-07 05:37:26,https://www.instagram.com/p/DG4vtqMyeR4/
168,21,5,0,0,4,2,0,3,93,2.0082055711509392,3581345849567489583,2025-03-05 04:41:56,https://www.instagram.com/p/DGzfxTzy0ZT/
168,21,5,0,0,4,2,0,3,93,2.0082055711509392,3581345849710147734,2025-03-05 04:41:56,https://www.instagram.com/p/DGzfxTzy0ZT/
237,35,5,0,1,7,0,0,2,315,6.8019866119628585,3569824210145007641,2025-02-17 07:11:21,https://www.instagram.com/p/DGKkDSUSFgZ/
233,28,5,0,0,6,3,0,2,316,6.823580220254804,3566899023892319317,2025-02-13 06:18:40,https://www.instagram.com/p/DGAK8U1yWt6/
