feature,importance
bert_pc_8,0.06302743689605221
bert_pc_9,0.036486539648472045
bert_pc_1,0.03442534079436601
bert_pc_3,0.03350537043456077
bert_pc_18,0.02770984200222127
bert_pc_49,0.026591495863125977
bert_pc_13,0.025863234450396833
bert_pc_25,0.025446424356808356
bert_pc_24,0.022778329814776364
bert_pc_10,0.022328771356424387
hashtag_count,0.022317081335954447
bert_pc_38,0.022178178888277653
bert_pc_11,0.0216208416719292
bert_pc_48,0.02138646321281612
caption_length,0.02006154944737928
bert_pc_26,0.020055567835055552
bert_pc_12,0.01990408763803066
bert_pc_5,0.01961934175432861
bert_pc_32,0.01788587164503664
bert_pc_0,0.01779105672366077
bert_pc_14,0.01740641631960525
bert_pc_21,0.01713124748194728
bert_pc_15,0.016233810807132164
bert_pc_17,0.015649728145034594
bert_pc_4,0.015472236397183215
bert_pc_43,0.015424926462993038
bert_pc_23,0.015093798666235564
bert_pc_35,0.014658514833224268
sharpness,0.014528759049956921
bert_pc_19,0.01449643541777568
word_count,0.014369637691990888
bert_pc_45,0.014183750447185709
bert_pc_33,0.014181892388683026
bert_pc_47,0.014050447806793773
bert_pc_30,0.01403539314704721
bert_pc_2,0.013956408982046288
bert_pc_7,0.013775639893125746
bert_pc_6,0.013473233226198084
bert_pc_46,0.013052079916033162
bert_pc_37,0.012923341428128883
bert_pc_22,0.012749696082133803
bert_pc_28,0.012393790274148206
bert_pc_34,0.012373189225726016
bert_pc_44,0.012215770114321888
bert_pc_16,0.011978020233407804
bert_pc_40,0.011472781539576909
bert_pc_42,0.011237858868743992
bert_pc_36,0.010931554174939798
bert_pc_27,0.010739864282122332
contrast,0.01024398872021686
bert_pc_31,0.01007554929155997
bert_pc_29,0.00918991166086562
bert_pc_39,0.009033491344306163
bert_pc_20,0.007414976467073762
aspect_ratio,0.007396131583616801
hour,0.006501783262273623
bert_pc_41,0.0057424575971454315
month,0.00494571200715633
day_of_week,0.004269736541460203
is_video,0.0028772949268395702
is_weekend,0.0010266436873729063
mention_count,0.00010927383699822857
