name,features,mae,r2
Text Only,59,144.22256223831647,0.45472264649186633
NIMA (8),67,136.58883779175142,0.4599395797008098
NIMA + Composition (12),71,141.15328300601732,0.4507192530310079
NIMA + Saliency (11),70,139.18059567685447,0.46608092558753345
NIMA + Color (11),70,139.51449158047242,0.463981004260149
NIMA + Comp + Sal (15),74,144.6367696972155,0.4471958820756011
NIMA + Comp + Color (15),74,139.78391363257424,0.4536431185170523
NIMA + Sal + Color (14),73,141.48528030002143,0.45786621173599884
All Aesthetic (18),77,140.52511323640715,0.46118797002572187
Composition Only (4),63,139.6133035352418,0.4509727781705747
Saliency Only (3),62,142.19307040109197,0.4560818083375615
Color Only (3),62,141.52364639311256,0.45758656568099654
